"-- Choose --","-- Choose --"
"Minuut","Minuut"
"Mu","Mu"
"Nautische mijl","Nautische mijl"
"NL, Auto tarief","NL, Auto tarief"
"NL, BTW verlegd (hoog)","NL, BTW verlegd (hoog)"
"NL, BTW verlegd (laag)","NL, BTW verlegd (laag)"
"NL, Hoog Tarief","NL, Hoog Tarief"
"NL, Laag tarief","NL, Laag tarief"
"NL, Nul tarief","NL, Nul tarief"
"Nomen Nescio","Nomen Nescio"
"Non-EU Customer Vat Code","Non-EU Customer Vat Code"
"Nul tarief","Nul tarief"
"Order","Order"
"Order Number","Order Number"
"Ounce","Ounce"
"Ounce troy","Ounce troy"
"Pagebreak Per Items","Pagebreak Per Items"
"Paid with %s","Paid with %s"
"PHP SOAP extension not found! Please install PHP SOAP on this server.","PHP SOAP extension not found! Please install PHP SOAP on this server."
"Pint","Pint"
"Pounds","Pounds"
"Product Tax Class","Product Tax Class"
"Product Vat Group Mapping","Product Vat Group Mapping"
"Quintal","Quintal"
"Receipt","Receipt"
"Reeleezee","Reeleezee"
"Reeleezee failed to import %s invoices.","Reeleezee failed to import %s invoices."
"Reeleezee imported %s invoices.","Reeleezee imported %s invoices."
"Reeleezee Password","Reeleezee Password"
"Reeleezee Username","Reeleezee Username"
"Reeleezee Vat Code","Reeleezee Vat Code"
"Reeleezee Vat Group","Reeleezee Vat Group"
"Seconde","Seconde"
"Select the default unit code.","Select the default unit code."
"Select the shipping unit code.","Select the shipping unit code."
"Select the unit code product attribute, otherwise leave to Always use default.","Select the unit code product attribute, otherwise leave to Always use default."
"Select Yes to import invoices as Concept Invoice. Choose No to import as Open Invoice.","Select Yes to import invoices as Concept Invoice. Choose No to import as Open Invoice."
"Select Yes to use the Magento invoice number. Choose No to use Reeleezee auto increments.","Select Yes to use the Magento invoice number. Choose No to use Reeleezee auto increments."
"Settings","Settings"
"Settings for the Reeleezee invoice appearance. This does NOT change the Magento invoice.","Settings for the Reeleezee invoice appearance. This does NOT change the Magento invoice."
"Set to Document to create invoices in Reeleezee. Set to Receipt if you do not want to create an invoice in Reeleezee.","Set to Document to create invoices in Reeleezee. Set to Receipt if you do not want to create an invoice in Reeleezee."
"Shipping","Shipping"
"Shipping Account Reference","Shipping Account Reference"
"Shipping cost","Shipping cost"
"Shipping SKU","Shipping SKU"
"Shipping tax settings are found under the VAT and Taxes tab.","Shipping tax settings are found under the VAT and Taxes tab."
"Shipping Unit Code","Shipping Unit Code"
"Short ton","Short ton"
"Sq foot","Sq foot"
"Sq inch","Sq inch"
"Sq mile","Sq mile"
"Sq yard","Sq yard"
"Stuk","Stuk"
"Success: Reeleezee import succeeded.","Success: Reeleezee import succeeded."
"Test Mode","Test Mode"
"Test mode will NOT transfer data to Reeleezee, but will show Success or Failure messages when creating invoices through the admin backend. This is useful for testing your configuration settings.","Test mode will NOT transfer data to Reeleezee, but will show Success or Failure messages when creating invoices through the admin backend. This is useful for testing your configuration settings."
"Ton","Ton"
"Tonelada","Tonelada"
"Unit Code Product Attribute","Unit Code Product Attribute"
"Uur","Uur"
"Vara","Vara"
"VAT and Taxes","VAT and Taxes"
"Vk kilometer","Vk kilometer"
"Vrijgesteld","Vrijgesteld"
"Week","Week"
"Weekend","Weekend"
"Werkdag","Werkdag"
"Werkmaand","Werkmaand"
"Werkuur","Werkuur"
"Werkweek","Werkweek"
"Yard","Yard"
"You must enter a default number, e.g. 8000.","You must enter a default number, e.g. 8000."
"You must enter a default number for the Invoice Due Days, e.g. 30.","You must enter a default number for the Invoice Due Days, e.g. 30."
"You must enter an SKU, e.g. SHIPPINGCOST (you must create a product with this code in Reeleezee first).","You must enter an SKU, e.g. SHIPPINGCOST (you must create a product with this code in Reeleezee first)."
"You must enter a number, e.g. 8001 (create this in Reeleezee first to book shipping costs).","You must enter a number, e.g. 8001 (create this in Reeleezee first to book shipping costs)."
"Zeemijl","Zeemijl"
